nom,prenom,sexe,age,code_postal,situation_matrimoniale,profession,secteur_dactivite,date_deffet_souhaitee,accepted_by_sales
Dufour,Georges,H,47,20240,Marié(e) avec enfant,Salarié(e) non-cadre,Bâtiment (artisanat),25/09/2022,0
Caron,Jacques,H,30,46090,Pacsé(e),Fonctionnaire d'état,Automobile - Services,17/10/2022,0
Robert,René,H,58,31350,Marié(e) sans enfant,Agriculteur(trice),Santé,21/09/2022,0
Richard,Claude,H,70,64000,Pacsé(e),Fonctionnaire hospitalier,Offices Publics de l’Habitat,22/09/2022,0
Gillet,Michel,H,67,42110,Pacsé(e),Profession libérale,Textile,09/10/2022,0
Perrin,Bernard,H,50,58000,Pacsé(e),Fonctionnaire hospitalier,Services (artisanat),19/09/2022,0
Leveque,Philippe,H,28,42430,Divorcé(e),Commerçant(e),Art (artisanat),17/10/2022,0
Perez,Bernard,H,63,61100,Veuf(ve),Enseignant(e),Chimie (industrie),22/09/2022,0
Maillard,Christian,H,67,37120,Marié(e) sans enfant,Fonctionnaire d'état,Transport et logistique,10/10/2022,0
Remy,Jean,H,61,67340,Pacsé(e),Artisan,Production et services (artisanat),09/10/2022,0
Marie,Claude,H,70,67130,Pacsé(e),Enseignant(e),Armée de terre,30/09/2022,0
Gauthier,Robert,H,18,60119,Divorcé(e),Sans profession,Etudes et conseil,17/10/2022,0
Vasseur,Daniel,H,64,62124,Veuf(ve),Fonctionnaire hospitalier,Fédération des industries nautiques,23/09/2022,0
Boulanger,Alain,H,59,39110,Marié(e) sans enfant,Chef(fe) d'entreprise,Edition,06/10/2022,0
Royer,Georges,H,29,37290,Veuf(ve),Recherche d'emploi,Plasturgie,13/10/2022,0
Dupont,Pierre,H,64,37110,Marié(e) avec enfant,Salarié(e) non-cadre,Médicament (Les entreprises du),06/10/2022,0
Jacquet,Roger,H,45,71220,Marié(e) sans enfant,Commerçant(e),Travaux publics,04/10/2022,0
Dubois,Marcel,H,59,54620,Célibataire,Artisan,Textile,26/09/2022,0
Huet,Philippe,H,49,59265,Marié(e) avec enfant,Profession libérale,Production et services (artisanat),28/09/2022,0
Francois,Philippe,H,20,56540,Divorcé(e),Fonctionnaire territorial,"Economie sociale, habitat social et protection sociale",06/10/2022,0
Roger,Philippe,H,42,72530,Marié(e) avec enfant,Commerçant(e),Production et services (artisanat),25/09/2022,0
Huet,Michel,H,35,23150,Veuf(ve),Fonctionnaire hospitalier,Presse,28/09/2022,0
Duval,Bernard,H,52,71120,Pacsé(e),Fonctionnaire territorial,Papiers et cartons (industries),24/09/2022,0
Paris,Jean,H,38,41600,Divorcé(e),Sans profession,Magasins d’habillement,08/10/2022,0
Lefevre,Daniel,H,28,37290,Pacsé(e),Salarié(e) non-cadre,Transport et logistique,22/09/2022,0
Guichard,Roger,H,19,60310,Marié(e) avec enfant,Chef(fe) d'entreprise,Matériaux pour la construction et l’industrie,14/10/2022,0
Perrin,Jacques,H,45,39110,Marié(e) sans enfant,Fonctionnaire territorial,Chimie (industrie),27/09/2022,0
Laporte,René,H,70,37290,Divorcé(e),Salarié(e) non-cadre,"Fabrication, maintenance et réparation (artisanat)",12/10/2022,0
Bertin,Jean,H,29,55300,Célibataire,Etudiant(e),Art (artisanat),30/09/2022,0
Charpentier,Jean,H,23,43200,Pacsé(e),Commerçant(e),Commerces de détail non alimentaires,27/09/2022,0
Perrin,Robert,H,33,55300,Marié(e) avec enfant,Etudiant(e),Santé,24/09/2022,0
Rodriguez,Christian,H,46,66730,Célibataire,Salarié(e) cadre,Médicament (Les entreprises du),29/09/2022,0
Fournier,Alain,H,34,51420,Pacsé(e),Salarié(e) non-cadre,Commerces de détail non alimentaires,17/10/2022,0
Gay,Philippe,H,51,31510,Célibataire,Enseignant(e),Commerce à distance et e-commerce,28/09/2022,0
Bernard,Jean,H,63,58120,Pacsé(e),Agriculteur(trice),Commerce à distance et e-commerce,24/09/2022,0
Carlier,Christian,H,56,60119,Veuf(ve),Salarié(e) non-cadre,Evénement,20/09/2022,0
Fournier,Claude,H,55,48800,Marié(e) avec enfant,Enseignant(e),Assurance,15/10/2022,0
Rolland,Jean,H,60,23000,Pacsé(e),Enseignant(e),"Economie sociale, habitat social et protection sociale",07/10/2022,0
Collet,Marcel,H,57,20240,Marié(e) avec enfant,Fonctionnaire d'état,Production et services (artisanat),30/09/2022,0
Boucher,Roger,H,19,63200,Veuf(ve),Etudiant(e),Bâtiment (artisanat),04/10/2022,0
Robert,Robert,H,26,52130,Marié(e) sans enfant,Artisan,Evénement,01/10/2022,0
Denis,Robert,H,30,59494,Célibataire,Recherche d'emploi,Régies de quartier,04/10/2022,0
Roussel,Claude,H,58,49360,Marié(e) sans enfant,Recherche d'emploi,Santé,26/09/2022,0
Renault,Bernard,H,61,42220,Marié(e) avec enfant,Retraité(e),Industrie : la Fabrique de l’avenir,29/09/2022,0
Denis,Jean,H,63,46090,Marié(e) avec enfant,Retraité(e),Bâtiment,07/10/2022,0
Roussel,Georges,H,25,75020,Marié(e) avec enfant,Chef(fe) d'entreprise,"Fabrication, maintenance et réparation (artisanat)",06/10/2022,0
Robin,Jacques,H,70,77139,Marié(e) sans enfant,Salarié(e) cadre,Automobile - Services,22/09/2022,0
Dupont,René,H,36,41150,Veuf(ve),Enseignant(e),Industrie : la Fabrique de l’avenir,28/09/2022,0
Moulin,André,H,57,53600,Célibataire,Retraité(e),Commerces de détail non alimentaires,18/09/2022,0
Lucas,René,H,52,71260,Célibataire,Artisan,Presse,26/09/2022,0
Louis,Georges,H,39,53160,Pacsé(e),Fonctionnaire hospitalier,Production et services (artisanat),14/10/2022,0
Charpentier,Christian,H,32,67270,Célibataire,Fonctionnaire d'état,Médicament (Les entreprises du),02/10/2022,0
Besson,Christian,H,59,51110,Pacsé(e),Salarié(e) cadre,"Economie sociale, habitat social et protection sociale",15/10/2022,0
Garnier,Claude,H,47,70230,Veuf(ve),Enseignant(e),Alimentaire (la filière),22/09/2022,0
Faure,Marcel,H,44,68440,Veuf(ve),Sans profession,Offices Publics de l’Habitat,02/10/2022,0
Bernard,Bernard,H,64,66150,Marié(e) avec enfant,Enseignant(e),Régies de quartier,22/09/2022,0
Chevallier,Nicolas,H,62,34280,Divorcé(e),Profession libérale,Services (artisanat),02/10/2022,0
Roux,Paul,H,33,56540,Marié(e) avec enfant,Fonctionnaire hospitalier,Evénement,09/10/2022,0
Bouchet,Bernard,H,18,41250,Pacsé(e),Chef(fe) d'entreprise,Propreté,16/10/2022,0
Barre,Bernard,H,62,30230,Célibataire,Agriculteur(trice),Production et services (artisanat),14/10/2022,0
Bernard,Georges,H,19,48190,Veuf(ve),Etudiant(e),Numérique (Atlas),19/09/2022,0
Vasseur,Roger,H,28,37290,Marié(e) sans enfant,Recherche d'emploi,Commerce à distance et e-commerce,04/10/2022,0
Jacob,Jean,H,42,76190,Divorcé(e),Sans profession,Textile,09/10/2022,0
Lefevre,Christian,H,40,34280,Divorcé(e),Fonctionnaire d'état,Banque,11/10/2022,0
Michaud,André,H,52,65150,Marié(e) sans enfant,Recherche d'emploi,Ingénierie (Atlas),05/10/2022,0
Roy,Marcel,H,58,65100,Marié(e) avec enfant,Fonctionnaire hospitalier,Commerces de détail non alimentaires,18/09/2022,0
Leroy,Jacques,H,48,24200,Marié(e) sans enfant,Salarié(e) non-cadre,Ameublement,08/10/2022,0
Mercier,André,H,58,73170,Pacsé(e),Salarié(e) non-cadre,Grands magasins et magasins populaires,17/09/2022,0
Boyer,Philippe,H,23,45300,Célibataire,Fonctionnaire territorial,Etudes et conseil,08/10/2022,0
Moreau,Daniel,H,30,58420,Divorcé(e),Fonctionnaire d'état,Art (artisanat),27/09/2022,0
Fleury,Bernard,H,64,73170,Pacsé(e),Fonctionnaire hospitalier,Bâtiment (artisanat),11/10/2022,0
Aubry,Claude,H,54,57890,Célibataire,Salarié(e) non-cadre,Régies de quartier,17/09/2022,0
Michel,René,H,35,22450,Célibataire,Recherche d'emploi,Edition,19/09/2022,0
Martinez,Pierre,H,68,24110,Divorcé(e),Agriculteur(trice),Retraite complémentaire et prévoyance,30/09/2022,0
Brunet,André,H,47,68440,Célibataire,Retraité(e),Matériaux pour la construction et l’industrie,29/09/2022,0
Chevalier,André,H,42,20240,Pacsé(e),Profession libérale,Assurance,27/09/2022,0
Pelletier,Bernard,H,23,62124,Divorcé(e),Profession libérale,Automobile - Services,13/10/2022,0
Girard,Henri,H,64,56540,Veuf(ve),Salarié(e) non-cadre,Industrie : la Fabrique de l’avenir,10/10/2022,0
Roy,Georges,H,42,20240,Veuf(ve),Retraité(e),Banque,26/09/2022,0
Leroy,Claude,H,18,31350,Pacsé(e),Chef(fe) d'entreprise,Médicament (Les entreprises du),28/09/2022,0
Francois,Michel,H,43,55300,Divorcé(e),Fonctionnaire d'état,Industrie : la Fabrique de l’avenir,16/10/2022,0
Poulain,René,H,24,36100,Divorcé(e),Salarié(e) cadre,Santé,12/10/2022,0
Rodriguez,Louis,H,70,64310,Marié(e) sans enfant,Retraité(e),Edition,26/09/2022,0
Leger,Henri,H,23,53120,Marié(e) sans enfant,Chef(fe) d'entreprise,Banque,22/09/2022,0
Leger,Louis,H,52,52130,Pacsé(e),Enseignant(e),Ameublement,20/09/2022,0
Leblanc,Claude,H,29,57970,Célibataire,Retraité(e),Industrie : la Fabrique de l’avenir,29/09/2022,0
Riviere,Bernard,H,54,22450,Marié(e) avec enfant,Salarié(e) non-cadre,Offices Publics de l’Habitat,05/10/2022,0
Martinez,Paul,H,19,71260,Célibataire,Chef(fe) d'entreprise,Matériaux pour la construction et l’industrie,12/10/2022,0
Boucher,René,H,58,43600,Pacsé(e),Chef(fe) d'entreprise,Offices Publics de l’Habitat,05/10/2022,0
Clement,Christian,H,68,45310,Célibataire,Agriculteur(trice),Etudes et conseil,20/09/2022,0
Moreau,Bernard,H,26,43000,Veuf(ve),Retraité(e),"Economie sociale, habitat social et protection sociale",22/09/2022,0
Lejeune,Henri,H,39,48800,Divorcé(e),Salarié(e) non-cadre,Mutualité,30/09/2022,0
Louis,Georges,H,41,44210,Marié(e) avec enfant,Chef(fe) d'entreprise,Retraite complémentaire et prévoyance,11/10/2022,0
Gillet,Henri,H,44,70230,Marié(e) sans enfant,Etudiant(e),Alimentaire (la filière),01/10/2022,0
Dumas,Pierre,H,21,73160,Divorcé(e),Profession libérale,Banque,29/09/2022,0
Renault,Georges,H,54,48800,Célibataire,Fonctionnaire d'état,Papiers et cartons (industries),26/09/2022,0
Pelletier,André,H,19,76190,Veuf(ve),Artisan,Travaux publics,08/10/2022,0
Poulain,Philippe,H,27,20240,Marié(e) avec enfant,Artisan,Mutualité,27/09/2022,0
Jacob,Pierre,H,54,30230,Marié(e) avec enfant,Commerçant(e),Numérique (Atlas),08/10/2022,0
Roger,Philippe,H,29,37290,Veuf(ve),Artisan,Travaux publics,11/10/2022,0
Jacob,Christian,H,23,22350,Marié(e) avec enfant,Fonctionnaire hospitalier,Hôtellerie - Restauration,28/09/2022,0
Mercier,Alain,H,40,73170,Pacsé(e),Salarié(e) non-cadre,Magasins d’habillement,17/09/2022,0
Legrand,Nicolas,H,58,54620,Veuf(ve),Fonctionnaire d'état,Textile,12/10/2022,0
Hubert,Christian,H,42,55150,Marié(e) avec enfant,Salarié(e) non-cadre,Travaux publics,27/09/2022,0
Benoit,Paul,H,49,46090,Célibataire,Etudiant(e),Mutualité,10/10/2022,0
Klein,Pierre,H,54,20240,Marié(e) sans enfant,Sans profession,Presse,21/09/2022,0
Carre,Roger,H,49,51530,Divorcé(e),Fonctionnaire hospitalier,Propreté,25/09/2022,0
Marty,André,H,46,54370,Célibataire,Fonctionnaire territorial,Edition,21/09/2022,0
Royer,Claude,H,41,58000,Divorcé(e),Salarié(e) cadre,"Fabrication, maintenance et réparation (artisanat)",09/10/2022,0
Mallet,Paul,H,66,43200,Divorcé(e),Fonctionnaire territorial,Travaux publics,01/10/2022,0
Arnaud,André,H,64,63320,Divorcé(e),Salarié(e) non-cadre,Alimentaire (la filière),27/09/2022,0
Chevallier,Robert,H,46,43200,Divorcé(e),Salarié(e) non-cadre,Hôtellerie - Restauration,26/09/2022,0
Leclerc,Jean,H,68,77510,Pacsé(e),Agriculteur(trice),Services (artisanat),26/09/2022,0
Gay,Nicolas,H,69,31230,Divorcé(e),Commerçant(e),Production et services (artisanat),05/10/2022,0
Garnier,Louis,H,42,73170,Marié(e) sans enfant,Etudiant(e),Evénement,29/09/2022,0
Maillard,André,H,69,46130,Marié(e) avec enfant,Fonctionnaire d'état,Evénement,06/10/2022,0
Vidal,Henri,H,36,72150,Marié(e) sans enfant,Salarié(e) cadre,Plasturgie,24/09/2022,0
Philippe,Daniel,H,38,56190,Célibataire,Retraité(e),Matériaux pour la construction et l’industrie,17/10/2022,0
Chauvin,Christian,H,59,41170,Marié(e) avec enfant,Salarié(e) cadre,Evénement,09/10/2022,0
Mercier,André,H,33,67220,Veuf(ve),Agriculteur(trice),Assurance,21/09/2022,0
Lemoine,Alain,H,23,48700,Marié(e) sans enfant,Fonctionnaire d'état,Assurance,17/10/2022,0
Perret,Jean,H,30,48190,Célibataire,Enseignant(e),Production et services (artisanat),23/09/2022,0
Dumont,Michel,H,43,62124,Célibataire,Salarié(e) cadre,Propreté,12/10/2022,0
Renaud,Georges,H,34,75020,Marié(e) avec enfant,Retraité(e),Numérique (Atlas),03/10/2022,0
Laurent,Jean,H,28,38470,Célibataire,Fonctionnaire d'état,Médicament (Les entreprises du),30/09/2022,0
Lucas,Alain,H,23,36100,Divorcé(e),Fonctionnaire d'état,Propreté,13/10/2022,0
Michaud,Jacques,H,43,71260,Célibataire,Fonctionnaire territorial,Industrie : la Fabrique de l’avenir,27/09/2022,0
Hamon,Jacques,H,53,51530,Marié(e) sans enfant,Salarié(e) cadre,Edition,18/09/2022,0
Daniel,Robert,H,53,62215,Célibataire,Salarié(e) non-cadre,Transport et logistique,17/09/2022,0
Chevallier,Philippe,H,34,57970,Marié(e) sans enfant,Artisan,Régies de quartier,22/09/2022,0
Bertin,Michel,H,29,48210,Veuf(ve),Chef(fe) d'entreprise,Offices Publics de l’Habitat,05/10/2022,0
Guillaume,Georges,H,20,20240,Pacsé(e),Fonctionnaire hospitalier,Etudes et conseil,17/09/2022,0
Charles,Robert,H,50,41600,Marié(e) sans enfant,Fonctionnaire d'état,Presse,07/10/2022,0
Cousin,Henri,H,19,77510,Marié(e) sans enfant,Etudiant(e),Industrie : la Fabrique de l’avenir,04/10/2022,0
Martin,Nicolas,H,44,23260,Célibataire,Chef(fe) d'entreprise,Services (artisanat),01/10/2022,0
Meyer,Bernard,H,44,62124,Pacsé(e),Recherche d'emploi,Télécommunications,19/09/2022,0
Jacquet,Louis,H,20,73170,Célibataire,Profession libérale,Evénement,02/10/2022,0
Chauvin,Nicolas,H,50,61210,Marié(e) avec enfant,Retraité(e),Médicament (Les entreprises du),13/10/2022,0
Daniel,Bernard,H,58,20240,Pacsé(e),Salarié(e) non-cadre,Evénement,30/09/2022,0
Blanchard,André,H,70,64310,Marié(e) sans enfant,Fonctionnaire territorial,Ingénierie (Atlas),01/10/2022,0
Boulanger,Alain,H,33,72530,Marié(e) sans enfant,Etudiant(e),Textile,09/10/2022,0
Duval,Roger,H,62,53600,Marié(e) sans enfant,Sans profession,Assurance,19/09/2022,0
Perrot,Jean,H,25,61210,Divorcé(e),Salarié(e) cadre,Automobile - Services,27/09/2022,0
Clement,Jacques,H,49,74140,Veuf(ve),Salarié(e) non-cadre,Bâtiment,19/09/2022,0
Schmitt,Pierre,H,70,23260,Marié(e) avec enfant,Artisan,Industrie : la Fabrique de l’avenir,05/10/2022,0
Nicolas,René,H,68,34280,Divorcé(e),Sans profession,Plasturgie,11/10/2022,0
Mercier,Claude,H,43,30200,Marié(e) avec enfant,Enseignant(e),Médicament (Les entreprises du),02/10/2022,0
Pelletier,Georges,H,33,47000,Divorcé(e),Agriculteur(trice),Bâtiment (artisanat),21/09/2022,0
Marie,Nicolas,H,55,50700,Marié(e) avec enfant,Artisan,Banque,04/10/2022,0
Leblanc,Paul,H,54,20240,Marié(e) avec enfant,Etudiant(e),Transport et logistique,27/09/2022,0
Deschamps,Christian,H,28,58120,Pacsé(e),Fonctionnaire hospitalier,Santé,10/10/2022,0
Chauvin,Marcel,H,20,61100,Marié(e) sans enfant,Salarié(e) non-cadre,Offices Publics de l’Habitat,14/10/2022,0
Chevallier,André,H,63,70230,Marié(e) avec enfant,Salarié(e) non-cadre,Armée de terre,16/10/2022,0
Leclerc,Philippe,H,28,36100,Marié(e) sans enfant,Commerçant(e),Numérique (Atlas),10/10/2022,0
Dumont,Bernard,H,18,62124,Pacsé(e),Agriculteur(trice),Propreté,30/09/2022,0
Girard,Marcel,H,24,62130,Pacsé(e),Fonctionnaire d'état,Agriculture,17/09/2022,0
Barbier,Bernard,H,58,39190,Célibataire,Retraité(e),Assurance,28/09/2022,0
Vasseur,René,H,62,36310,Marié(e) avec enfant,Profession libérale,Propreté,23/09/2022,0
Roussel,Alain,H,25,59151,Divorcé(e),Fonctionnaire d'état,"Fabrication, maintenance et réparation (artisanat)",17/09/2022,0
Delaunay,Jacques,H,24,20240,Célibataire,Profession libérale,Banque,16/10/2022,0
Thomas,Michel,H,48,71260,Marié(e) sans enfant,Enseignant(e),Matériaux pour la construction et l’industrie,17/10/2022,0
Julien,Bernard,H,53,23260,Célibataire,Chef(fe) d'entreprise,Bâtiment (artisanat),17/10/2022,0
Jean,Michel,H,40,69009,Marié(e) sans enfant,Retraité(e),Etudes et conseil,27/09/2022,0
Rolland,Nicolas,H,36,35500,Divorcé(e),Agriculteur(trice),Travaux publics,27/09/2022,0
Perrin,Alain,H,40,37290,Divorcé(e),Retraité(e),Médicament (Les entreprises du),29/09/2022,0
Lecomte,René,H,42,36330,Marié(e) sans enfant,Retraité(e),Médicament (Les entreprises du),02/10/2022,0
Berger,Daniel,H,41,60310,Divorcé(e),Commerçant(e),Mutualité,20/09/2022,0
Bourgeois,Alain,H,67,20240,Célibataire,Enseignant(e),Fédération des industries nautiques,01/10/2022,0
Roger,Robert,H,68,34280,Veuf(ve),Chef(fe) d'entreprise,Grands magasins et magasins populaires,04/10/2022,0
Breton,Marcel,H,45,77130,Pacsé(e),Profession libérale,Fédération des industries nautiques,01/10/2022,0
Bourgeois,Jean,H,21,63330,Marié(e) avec enfant,Sans profession,Assurance,02/10/2022,0
Pierre,André,H,47,20240,Pacsé(e),Commerçant(e),Evénement,13/10/2022,0
Dubois,Paul,H,68,68440,Pacsé(e),Agriculteur(trice),Offices Publics de l’Habitat,29/09/2022,0
Bouvier,Henri,H,29,52110,Célibataire,Profession libérale,Alimentation (artisanat),25/09/2022,0
Delaunay,Georges,H,63,20240,Marié(e) avec enfant,Retraité(e),Art (artisanat),03/10/2022,0
Guerin,Christian,H,21,37290,Marié(e) sans enfant,Chef(fe) d'entreprise,Travaux publics,29/09/2022,0
Fabre,Louis,H,42,63330,Marié(e) sans enfant,Sans profession,Bâtiment (artisanat),29/09/2022,0
Perrin,André,H,51,41600,Divorcé(e),Recherche d'emploi,Matériaux pour la construction et l’industrie,29/09/2022,0
Maillard,Pierre,H,31,70230,Veuf(ve),Commerçant(e),Travaux publics,06/10/2022,0
Julien,René,H,26,75020,Veuf(ve),Commerçant(e),Ameublement,16/10/2022,0
Berger,Paul,H,40,67270,Divorcé(e),Etudiant(e),Commerces de détail non alimentaires,15/10/2022,0
Marchal,Pierre,H,63,75020,Pacsé(e),Salarié(e) non-cadre,Travaux publics,17/10/2022,0
Payet,René,H,25,32140,Divorcé(e),Fonctionnaire hospitalier,Industrie : la Fabrique de l’avenir,05/10/2022,0
Picard,Robert,H,36,38230,Marié(e) avec enfant,Sans profession,Chimie (industrie),29/09/2022,0
Marchand,Jean,H,69,68420,Célibataire,Salarié(e) cadre,Production et services (artisanat),02/10/2022,0
Olivier,Georges,H,65,32120,Divorcé(e),Fonctionnaire territorial,Automobile - Services,01/10/2022,0
Garcia,Henri,H,42,54260,Marié(e) avec enfant,Retraité(e),Régies de quartier,19/09/2022,0
Caron,Georges,H,40,75020,Marié(e) sans enfant,Profession libérale,"Economie sociale, habitat social et protection sociale",19/09/2022,0
Lefevre,Alain,H,55,66730,Marié(e) avec enfant,Etudiant(e),"Fabrication, maintenance et réparation (artisanat)",14/10/2022,0
Menard,Roger,H,61,61210,Pacsé(e),Fonctionnaire hospitalier,Hôtellerie - Restauration,19/09/2022,0
Weber,Daniel,H,44,57140,Pacsé(e),Sans profession,Presse,17/09/2022,0
Chevallier,René,H,55,68280,Célibataire,Artisan,Magasins d’habillement,12/10/2022,0
Jacquet,Alain,H,54,20240,Marié(e) avec enfant,Salarié(e) cadre,Services (artisanat),22/09/2022,0
Cousin,Paul,H,70,75016,Célibataire,Profession libérale,Alimentation (artisanat),20/09/2022,0
Laporte,Louis,H,66,68440,Marié(e) avec enfant,Etudiant(e),Commerce à distance et e-commerce,20/09/2022,0
Carlier,Alain,H,39,64310,Divorcé(e),Fonctionnaire hospitalier,Régies de quartier,02/10/2022,0
Schmitt,André,H,31,55300,Marié(e) sans enfant,Fonctionnaire d'état,Textile,17/10/2022,0
Gillet,René,H,59,60310,Marié(e) sans enfant,Salarié(e) non-cadre,Commerces de détail non alimentaires,30/09/2022,0
Fournier,Roger,H,68,20240,Célibataire,Chef(fe) d'entreprise,Evénement,11/10/2022,0
Pelletier,Michel,H,57,24200,Veuf(ve),Retraité(e),Plasturgie,15/10/2022,0
Michaud,Pierre,H,26,56190,Célibataire,Retraité(e),Hôtellerie - Restauration,27/09/2022,0
Martinez,André,H,28,41350,Veuf(ve),Agriculteur(trice),Retraite complémentaire et prévoyance,08/10/2022,0
Rolland,Philippe,H,31,48190,Pacsé(e),Fonctionnaire hospitalier,Presse,27/09/2022,0
Guillaume,Michel,H,54,31460,Marié(e) avec enfant,Enseignant(e),Etudes et conseil,27/09/2022,0
Schneider,Robert,H,60,22290,Marié(e) avec enfant,Enseignant(e),Commerces de détail non alimentaires,02/10/2022,0
Leveque,Jean,H,24,61210,Marié(e) avec enfant,Profession libérale,Presse,26/09/2022,0
Fabre,Paul,H,50,69170,Pacsé(e),Artisan,Ameublement,17/10/2022,0
Michel,Alain,H,64,61210,Veuf(ve),Agriculteur(trice),Bâtiment,23/09/2022,0
Etienne,Roger,H,22,40180,Pacsé(e),Profession libérale,Industrie : la Fabrique de l’avenir,22/09/2022,0
Royer,Georges,H,20,39110,Célibataire,Retraité(e),Travaux publics,25/09/2022,0
Roy,Claude,H,19,55000,Marié(e) avec enfant,Fonctionnaire territorial,Automobile - Services,29/09/2022,0
Bertrand,Georges,H,29,56540,Veuf(ve),Fonctionnaire hospitalier,Travaux publics,17/09/2022,0
Vidal,Roger,H,35,65150,Divorcé(e),Artisan,Transport et logistique,17/10/2022,0
Hubert,Henri,H,50,63340,Pacsé(e),Profession libérale,Art (artisanat),17/09/2022,0
Michaud,Philippe,H,53,77139,Veuf(ve),Fonctionnaire hospitalier,Alimentaire (la filière),15/10/2022,0
Pasquier,Pierre,H,38,58000,Divorcé(e),Retraité(e),Santé,06/10/2022,0
Andre,Nicolas,H,67,43200,Divorcé(e),Salarié(e) cadre,Plasturgie,22/09/2022,0
Perrin,Robert,H,43,74140,Pacsé(e),Fonctionnaire d'état,Bâtiment,01/10/2022,0
Rodriguez,André,H,19,77510,Veuf(ve),Salarié(e) cadre,Alimentation (artisanat),22/09/2022,0
Chevallier,Jean,H,44,53160,Divorcé(e),Retraité(e),Commerce à distance et e-commerce,10/10/2022,0
Boyer,Claude,H,39,47370,Marié(e) sans enfant,Fonctionnaire d'état,"Fabrication, maintenance et réparation (artisanat)",11/10/2022,0
Gay,Marcel,H,38,20240,Marié(e) sans enfant,Salarié(e) non-cadre,Bâtiment (artisanat),28/09/2022,0
Guillot,Jacques,H,52,48190,Célibataire,Fonctionnaire territorial,Etudes et conseil,20/09/2022,0
Aubry,Robert,H,30,61210,Pacsé(e),Retraité(e),Alimentation (artisanat),17/10/2022,0
Le Gall,Bernard,H,30,58420,Célibataire,Enseignant(e),Art (artisanat),07/10/2022,0
Lacroix,Jacques,H,37,20240,Veuf(ve),Agriculteur(trice),Agriculture,12/10/2022,0
Julien,Georges,H,48,50400,Pacsé(e),Sans profession,Alimentaire (la filière),06/10/2022,0
Leclercq,Marcel,H,23,32140,Célibataire,Fonctionnaire hospitalier,Edition,07/10/2022,0
Leroux,Pierre,H,70,33380,Marié(e) sans enfant,Agriculteur(trice),Presse,04/10/2022,0
Morel,Christian,H,48,65150,Célibataire,Salarié(e) non-cadre,Matériaux pour la construction et l’industrie,04/10/2022,0
Charpentier,Michel,H,63,20240,Marié(e) sans enfant,Fonctionnaire d'état,Agriculture,17/10/2022,0
Dumas,Marcel,H,56,58420,Célibataire,Sans profession,Régies de quartier,28/09/2022,0
Benard,Jacques,H,50,41250,Divorcé(e),Fonctionnaire hospitalier,Retraite complémentaire et prévoyance,15/10/2022,0
Besson,René,H,53,46090,Pacsé(e),Retraité(e),Commerce à distance et e-commerce,17/10/2022,0
Joly,René,H,25,63200,Divorcé(e),Retraité(e),Bâtiment (artisanat),29/09/2022,0
